epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,969.127,0.62401,0.9708,0.41335,0.4402,0.89972,0.99792,1,0.995,0.90441,0.99792,1,0.995,0.91797,0.48955,0.59267,0.3407,0.38645,0.8074,0.0003764,0.0003764,0.0003764
84,981.018,0.59202,0.97566,0.49776,0.46645,0.89386,0.99802,1,0.995,0.90235,0.99802,1,0.995,0.92117,0.4644,0.56504,0.33767,0.37484,0.80116,0.0003566,0.0003566,0.0003566
85,992.628,0.44144,0.58225,0.38105,0.40621,0.83453,0.99802,1,0.995,0.90235,0.99802,1,0.995,0.92117,0.4644,0.56504,0.33767,0.37484,0.80116,0.0003368,0.0003368,0.0003368
86,1004.67,0.48733,0.68431,0.40117,0.3925,0.82427,0.99813,1,0.995,0.91569,0.99813,1,0.995,0.912,0.45851,0.53512,0.33566,0.36016,0.80392,0.000317,0.000317,0.000317
87,1016.28,0.49862,0.87321,0.42196,0.46116,0.86155,0.99813,1,0.995,0.91569,0.99813,1,0.995,0.912,0.45851,0.53512,0.33566,0.36016,0.80392,0.0002972,0.0002972,0.0002972
88,1028.06,0.58531,0.80923,0.43926,0.43142,0.89731,0.99796,1,0.995,0.91928,0.99796,1,0.995,0.9263,0.46317,0.52052,0.33594,0.35421,0.80712,0.0002774,0.0002774,0.0002774
89,1040.03,0.59873,0.93497,0.46329,0.45453,0.87998,0.99796,1,0.995,0.91928,0.99796,1,0.995,0.9263,0.46317,0.52052,0.33594,0.35421,0.80712,0.0002576,0.0002576,0.0002576
90,1051.74,0.53011,0.72906,0.41202,0.41489,0.85386,0.99803,1,0.995,0.91808,0.99803,1,0.995,0.93239,0.45745,0.51596,0.33666,0.35041,0.80454,0.0002378,0.0002378,0.0002378
91,1064.12,0.54153,0.64156,0.34058,0.45233,0.81908,0.99803,1,0.995,0.91808,0.99803,1,0.995,0.93239,0.45745,0.51596,0.33666,0.35041,0.80454,0.000218,0.000218,0.000218
92,1076.23,0.45364,0.59859,0.35365,0.42605,0.80659,0.99798,1,0.995,0.91767,0.99798,1,0.995,0.93625,0.45209,0.51262,0.33708,0.36251,0.8004,0.0001982,0.0001982,0.0001982
93,1087.79,0.47627,0.55476,0.33227,0.40205,0.83177,0.99798,1,0.995,0.91767,0.99798,1,0.995,0.93625,0.45209,0.51262,0.33708,0.36251,0.8004,0.0001784,0.0001784,0.0001784
94,1099.71,0.4746,0.55761,0.33316,0.38498,0.85964,0.99795,1,0.995,0.92465,0.99795,1,0.995,0.93997,0.4431,0.50676,0.3382,0.35955,0.79804,0.0001586,0.0001586,0.0001586
95,1111.38,0.4202,0.55186,0.35992,0.36471,0.77536,0.99795,1,0.995,0.92465,0.99795,1,0.995,0.93997,0.4431,0.50676,0.3382,0.35955,0.79804,0.0001388,0.0001388,0.0001388
96,1123.13,0.57741,0.64736,0.35478,0.47041,0.79808,0.998,1,0.995,0.92713,0.998,1,0.995,0.944,0.42682,0.49132,0.3392,0.35936,0.79484,0.000119,0.000119,0.000119
97,1134.97,0.42728,0.55202,0.36162,0.36758,0.83379,0.998,1,0.995,0.92713,0.998,1,0.995,0.944,0.42682,0.49132,0.3392,0.35936,0.79484,9.92e-05,9.92e-05,9.92e-05
98,1146.61,0.5196,0.57093,0.37407,0.40457,0.82556,0.99804,1,0.995,0.93561,0.99804,1,0.995,0.94067,0.41452,0.47995,0.338,0.35151,0.79235,7.94e-05,7.94e-05,7.94e-05
99,1158.19,0.47426,0.50193,0.34208,0.39689,0.8192,0.99804,1,0.995,0.93561,0.99804,1,0.995,0.94067,0.41452,0.47995,0.338,0.35151,0.79235,5.96e-05,5.96e-05,5.96e-05
100,1170.25,0.43563,0.51095,0.32354,0.38591,0.85611,0.99808,1,0.995,0.93469,0.99808,1,0.995,0.942,0.40774,0.48886,0.33844,0.34898,0.79076,3.98e-05,3.98e-05,3.98e-05
