epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4944.66,0.50637,0.32646,0.32555,0.35956,0.85679,0.99785,1,0.995,0.93166,0.99785,1,0.995,0.99219,0.38706,0.13029,0.10982,0.29357,0.81366,0.0002774,0.0002774,0.0002774
89,4999.59,0.53826,0.25717,0.3104,0.35066,0.85341,0.99793,1,0.995,0.93825,0.99793,1,0.995,0.99226,0.38806,0.12426,0.11168,0.29235,0.81414,0.0002576,0.0002576,0.0002576
90,5054.47,0.49916,0.26964,0.35713,0.3645,0.85338,0.99743,1,0.995,0.9364,0.99743,1,0.995,0.99349,0.38312,0.12434,0.1132,0.29106,0.81259,0.0002378,0.0002378,0.0002378
91,5109.24,0.49855,0.19723,0.15325,0.33262,0.82355,0.99692,1,0.995,0.9309,0.99692,1,0.995,0.98817,0.40476,0.12794,0.11432,0.3043,0.81315,0.000218,0.000218,0.000218
92,5163.77,0.50586,0.1565,0.13979,0.3445,0.83368,0.99684,1,0.995,0.93547,0.99684,1,0.995,0.98951,0.41522,0.12839,0.11313,0.30633,0.81441,0.0001982,0.0001982,0.0001982
93,5217.87,0.49581,0.20595,0.15922,0.33514,0.82928,0.99633,1,0.995,0.94272,0.99633,1,0.995,0.98886,0.39034,0.12448,0.10982,0.30126,0.81075,0.0001784,0.0001784,0.0001784
94,5272.13,0.45906,0.16142,0.14174,0.33654,0.80932,0.99389,1,0.995,0.93769,0.99389,1,0.995,0.98671,0.39177,0.1227,0.107,0.29926,0.81062,0.0001586,0.0001586,0.0001586
95,5326.43,0.47224,0.1792,0.1718,0.32281,0.83297,0.99463,1,0.995,0.93766,0.99463,1,0.995,0.98673,0.39586,0.12225,0.10545,0.29562,0.8121,0.0001388,0.0001388,0.0001388
96,5380.91,0.48231,0.15328,0.11711,0.32254,0.80612,0.99466,1,0.995,0.93894,0.99466,1,0.995,0.98823,0.38463,0.12204,0.10472,0.29178,0.81012,0.000119,0.000119,0.000119
97,5434.94,0.47319,0.15892,0.13502,0.31603,0.83065,0.99494,1,0.995,0.947,0.99494,1,0.995,0.99237,0.3944,0.11885,0.10436,0.29087,0.81021,9.92e-05,9.92e-05,9.92e-05
98,5489.72,0.42788,0.1488,0.13293,0.31741,0.82319,0.99722,1,0.995,0.94849,0.99722,1,0.995,0.99188,0.37875,0.11495,0.10284,0.28566,0.80828,7.94e-05,7.94e-05,7.94e-05
99,5544.79,0.42379,0.14262,0.15183,0.31749,0.80837,0.99773,1,0.995,0.95178,0.99773,1,0.995,0.99129,0.35658,0.11356,0.10147,0.27321,0.80625,5.96e-05,5.96e-05,5.96e-05
100,5599.25,0.42542,0.17451,0.13248,0.30972,0.81168,0.99819,1,0.995,0.94703,0.99819,1,0.995,0.99116,0.35182,0.11401,0.10061,0.27066,0.80587,3.98e-05,3.98e-05,3.98e-05
